"Date","Title","Review_Text","Review_Score","Country"
2016-03-11,"Must read for every Star Wars fan!","Timothy Zahn is a great writer and storyteller! I have read all three volumes of this trilogy for several times in last 15 years. I'm a great fan of the original Star Wars. I could not stand the new ones... You know, Jar Jar Binks and stuff... This Zahn's trilogy should be the next Star Wars movies. This book introduces great characters, mainly Imperial Grand Admiral Thrawn... I don't want to spoil this trilogy but if you're into Star Wars, this trilogy is a must read!",5,"UK"
2017-03-21,"The story continues...","A good continuation, it is a bit slower and more convoluted than book one, but still a good strong story with a healthy dose of Thrawn.",5,"UK"
2017-08-12,"Five Stars","Always a pleasure to read another of the starwars franchise. Keep them coming.",5,"UK"
2014-07-21,"Its still Canon for me","Classic continuation of the original Star Wars saga, it's a real shame now that Disney have got hold of it this is no longer canon but it's still a great story following the heroes we all love",5,"UK"
2015-04-13,"Awesome Bad Guy","Jolly good show! Mith'raw'nuruodo I. E. Thrawn is an awesome bad guy...you read about him winning battles weapons moves described in detail.",5,"UK"
2017-06-24,"Five Stars","Perfect",5,"UK"
2015-11-10,"great science fiction even without the Star Wars","Wished I had read it years ago, great science fiction even without the Star Wars characters",5,"UK"
2016-01-20,"The second episode of the trilogy, it keeps up ...","The second episode of the trilogy, it keeps up with the tempo and paves the way for the gran finale.",5,"UK"
2010-08-15,"Thrawn to be wild","The second installment in the Thrawn Trilogy definitely makes for a good read, Thrawn is as clever as ever and the New Republic are having to play catch-up as he sends all their hard work and fight for peace in the galaxy unravelling. Timothy Zahn has written a well paced book that expands the Star Wars universe to great effect!",4,"UK"
2015-10-07,"Loved this book","Amazing, love Timothy Zahn's Star Wars books. Can't wait to read more",5,"UK"
2016-05-14,"Five Stars","100% result",5,"UK"
2013-02-19,"Work of art","This trilogy rivals the  original 3 movies, and destroys completely the last 3 ones.I kid you not!If you like star wars, get these 3 books (this one being the second of the series) right now!!!",5,"UK"
2014-01-28,"Good","This is what I expected, even If Luke is so tearful and naive. Anyway it is a good story not for SW maniacs only.",4,"UK"
2018-01-18,"Five Stars","Son loved it, but he likes all things Thrawn!",5,"UK"
2014-08-07,"#1 Zhan","Amazing book by Zhan as usual.",5,"UK"
2014-08-28,"Not cannon - shame","Enjoyed it",4,"UK"
2015-08-01,"Perfect","Exactly as described. Excellent service.",5,"UK"
2015-10-08,"Five Stars","Excellent book and series. Third time I have read the set. Well written, just can't put it down",5,"UK"
2016-01-15,"Five Stars","Ok",5,"UK"
2017-04-22,"Four Stars","ok",4,"UK"
2010-10-11,"A good sequel that builds to story well","Dark Force Rising is the second book in the Star Wars: Thrawn Trilogy and following on from events in book 1, Heir to the Empire. I quite enjoyed the first book, mainly due to my love of the original Star Wars trilogy and the fact that the characters from that returned for this story. What was also good was the way Timothy Zahn introduced new characters to the setting that felt right and worked extremely well. So, I was quite eager to get my teeth into Dark Force Rising and see how the story continued. In short, very pleasing, but read on for some more details...We've got a few main threads in Dark Force Rising, from the big threat of the Empire now commanded by Grand Admiral Thrawn, Leia and her quest to bring the truth to the Noghri people and get them on side with the New Republic, Luke and his inevitable drawing to the old, and dark, Jedi Joruus C'Baoth, Han and Lando on a mission to find out more of the Katana Fleet - the Dark Force of the title, and general goings-on that have carried through from the first book.While I've mentioned the new characters in my previous review I won't go into detail on them, although I will talk a little about the Noghri. These are a race that are sworn to help the Empire, or rather were recruited by Darth Vader himself before he transferred command of them to Thrawn. They do as Thrawn commands and their current target is Princess Leia, but when they discover that she is the daughter of Darth Vader all this changes. We get to see their motivations and why they continue to serve the Empire, all of which is very satisfying. It's nice to see a good amount of detail go into new races such as the Noghri in this series, and it brings a little extra than the normal Star Wars story does.The story is overall very pleasing, delivering pretty much what I expected from a Star Wars tale, especially the second part of a trilogy. It continues the plot threads from the first book and also builds up plenty of things ready for the conclusion in book three. All the characters are well portrayed once again and Zahn does a terrific job of bringing a proper Star Wars feel to the novel. While there is nothing overly surprising, I found that my main enjoyment came from how well written and true to the source material the novel is. Some plot threads do tend to be dragged out a little, but ultimately they satisfied my inner fan boy and made me want to get around to the third book sooner rather than later.So far the Thrawn trilogy is turning out to be a pretty good continuation of the Star Wars story. Here's hoping that Zahn can bring the finale to a close in spectacular fashion!",4,"UK"
1997-12-05,"Holy X-wings, this book was good!","Wow. That is the one word that perfectly sums up my opinion of this book. I agree with those who say that this was not quite up to the standards of Zahn's other action-packed, edge-of-you-seat (or where ever else you read)SW novels, but it was still great, eh? Can't argue with that! Sure, I have my complaints, and I have other books I enjoyed more (plenty more), but that's how it is with nearly every book I read. (Except with ""The Princess Bride"". In the words of Westly, ""I've never seen it's equal."") I think that Mr. Zahn should have spent more time away from going on and on about how insane C'Baoth was. Now, listen closely to this. I have meant to say this in my other reviews, but I keep fogetting.... Is there anyone else who get a little agitated when authors of SW novels keep using lines from the movies excessively in the books, such as ""I have a bad feeling about this"" or ""It's not my fault!""? It has been this way with every SW novel I have ever read. Just once, I want to read one that does not mention any lines from the movies (except when quoting), and the author is able to make their own ""Star Wars cliches"". I'm still looking for that book. Mr. Zahn's new characters fit in perfectly with the movies and original characters. I find myself talking to other people who have seen the movies, speaking of Mara Jade as if she really were a main character in ROTJ. Zahn puts her in the background so well, one will begin to doubt their memories of the movies, and watch them again to make sure Mara was really not in any of them.  Anyway, I know Zahn is a great author, especially in his SW novels, but for anyone who has not read him, just look at the other novels, where Mr. Zahn's words and characters, animals and places are used endlessly. That in itself should tell you just how good Mr Zahn is.",5,"UK"
1998-06-14,"Lots of plots, action, very interesting","Dark Force Rising, is an interesting novel with many plots.In one scence the rebellion finds out that Karde(smuggler) knows the location of the Dark force, 200 Dreadnaughts, (old but heavily armored, and verpowerful weapons-wise).However one of Kardes associates was with Karde when he didcovered the Dark Force has fled to sell the information on where the Dark Force is. Now it becomes a race between the Empire and the Rebellion to recover the 200 Draednaughts. In another scene C'baoth the dark Jedi Master (he's a clone) attempts to turn Loke Skywalker to the dark side. He plans to make a small army of Dark Jedi's tat consist of Mara-Jade, Luke,Leia, and her twins.Luke is almost turned to the Dark Side by Mater Jorus C'baoth (he uses a mind control trick).However C'baoth fails to do so after Mara-Jade interveins.This and more is some of the thigs thet happens inthis great book. Iwould of give this book 5 Stars but the Last Command is the best of the trilogy, Because is has a great ending for Admiral Thrawn  and turn of eventts btween Master C'baoth and his victems. Grand Admiral Thrawn is one of the most ingenious enemies in the Star Wars universe. If you thought the Rebellion had an easy path or a mopping up job after defaeting the emperor you thought wrong.",4,"UK"
1998-12-21,"Raises the bar for spinoff work","Those who think that good SF is simply huge ships duking it out with the help of CGI will of course be disappointed. For me, the character of Thrawn  was a relief, for the same reason all of the other characters Zahn creates  were a relief: The bad guys have some good characteristics (Pelleaon is  intriguing because of his pragmatism and dedication and, along with Thrawn,  the first, and I do mean first, SW baddies who were not merely comic-opera  rejects from the Nazi school of winning friends and influencing people,  amusing in their self-important incompetence -- read ""Darksaber,""  if you can stand it, to see what I mean) and the good guys have their flaws  (Karrde is intriguing as an amoral smuggler king whose pragmatism and pride  trick him into doing the right thing). Zahn artfully fleshes out the  archetypes created by Lucas in his Campbellian epic to create a story that,  rare among spinoff fiction (e.g. much of the Star Trek follow-on with the  exceptions of Diane Duane and John Ford), did not leave me feeling like I  wasted my time.",4,"UK"
1997-10-02,"Trilogies have  hindering parts,and DFR proves just that.","DFR is an ultimately recommendable book... for people who haven't read the other two, and those who like strategic science fiction, not action science fiction. Although it is commendable, I did not find it an easy read, and many times I put off my reading sessions only because I wanted to find more excitement than C'Baoth Insanity. I myself, finishing the other two books in 5 days apiece (school, you know), ended this story 2 weeks after I started. It doesn't have the fit and action of the other two, and the principles of the films. All in all, it's a good book, but good is not on the positive side. I'd say marginal. It's good by itself, but is hard to read without finishing HEIR to really understand. Compared to HEIR's perfect quality and TLC's almost-perfect reputation, this is a real setback for the best STAR WARS book trilogy of all. A necessary read to get into the wildest part of the trilogy: The Last Command.",4,"UK"
