"Date","Title","Review_Text","Review_Score","Country"
2017-01-09,"the third and final entry in the Thrawn saga","This is a well-written and entertaining Star Wars story, set a few years after the events seen in Return of the Jedi. The rebels have been victorious, and set about building a New Republic. Meanwhile the defeated Empire has sought to bring together its remaining remnants, under the leadership of Grand Admiral Thrawn - who serves as a central antagonist of this novel.This is the third and final entry in a trilogy of books; it follows on from Star Wars - Volume 1: Heir to the Empire and Star Wars - Volume 2: Dark Force Rising. These were the initial instalments of the Star Wars Extended Universe, as represented canon while George Lucas owned Lucasfilm. Disney have sought to re-write what's known as ""canon"" - nonetheless this book, as with many others of the Extended Universe, is well worth a read. If you're a fan of the original trilogy of films then I recommend it.",4,"UK"
2017-06-19,"An OK third book with a disappointing finish","An overall nice finale to the original Thrawn trilogy, and overall I enjoyed it, however - and it feels like quite a big however - It does end rather abruptly with what feels like little closure.Without being too spoilerific, the final battle starts out well for the Imps, goes a little wrong, then suddenly they are in retreat and it's over.  No middle ground, just a seemingly spontaneous rout.  I re-read the chapter in case I'd missed a page or two, but that was it - quite disappointing after being invested in the story.  Several loose ends are left dangling.  It gave me second thoughts about The Hand of Thrawn two-book series, as Zahn seemed to be bored with it.",3,"UK"
2017-09-28,"Its easy one of the best storys in the expanded universe","All tho its no longer canon thanks to Disney for killing the franchise. Its easy one of the best storys in the expanded universe. It reads perfectly like a movie like a movie. great book must read for any star wars fan. I would recommend reading heir to the empire and dark force rising first. 10/10",5,"UK"
2015-10-07,"Amazing trilogy","Amazing, love Timothy Zahn's Star Wars books. Can't wait to read more.  Was gutted when this trilogy ended, I would have been happy to keep buying and reading.",5,"UK"
2014-08-07,"Zahn strikes again.","A great ending to an amazing story, truly an unexpected ending too. Timothy Zhan is probably the only man you can trust with the Star Wars universe in my opinion. I imagine if he wrote the films, the prequels would've been epic.",5,"UK"
2017-04-22,"Four Stars","ok",4,"UK"
2015-12-31,"A must read","Absolutely loved the Thrawn trilogy, definitely best of all the Star Wars books",5,"UK"
2000-10-26,"Wow...  Does this guy know his stuff or what?","I've got all three versions of this, (paperback/graphic/audio) and aside from listening to Anthony Daniels doing all the other voices on the tape versions, (Absolutely hilarious by the way...) this is one of the best star wars books I've seen so far. I did notice one important mistake though, which was 'how did C'Boath brainwash the clone if he couldn't use the Force?'  but even this can't take away from the rest of the book, which truly shows how much effort and attention to detail Zahn put into this.  All in all an amazing end to a top notch trilogy which gets better with each book.",5,"UK"
2016-08-11,"Five Stars","Love it.",5,"UK"
2015-07-23,"a must read for star wars fans","best star wars trilogy ive read. flows perfectly and kept me glued",5,"UK"
2016-01-20,"Five Stars","Great end of an epic trilogy.",5,"UK"
2014-01-28,"Good","This is what I expected, even If Luke is so tearful and naive. Anyway it is a good story not for SW maniacs only.",4,"UK"
2015-01-23,"Five Stars","i just love the books",5,"UK"
2016-03-09,"Four Stars","especially liked how Leia's warmth reaches Mara.",4,"UK"
2014-08-28,"Not cannon - shame","Enjoyed it",4,"UK"
2015-10-15,"Five Stars","Outstanding.",5,"UK"
2013-03-21,"Excellent service","I chose this rating as the book was exactly as described and it arrived within 5 days of purchase, unfortunately it has arrived before second volume of the trilogy so have been unable to read yet.",5,"UK"
2013-05-26,"Great book","Excellent book finishing off the Thrawn trilogy brilliantly. A must have for star wars fans. The Thrawn trilogy have been my first star wars novels and i highly recommend them.",5,"UK"
2017-11-29,"One Star","Disappointing that this came with a totally different cover. Was looking for the original artwork as advertised.",1,"UK"
2004-11-03,"The war against Thrawn reaches it's surprising conclusion.","Five years after 'Return of the Jedi', Grand Admiral Thrawn desires to draw the New Republic into a decisive battle.  To that end he launches cloaked asteroids into Coruscant's orbit and the New Republic have no choice but to attempt the theft of an Imperial anti-cloak device.  Meanwhile, Han, Luke, Leia, Lando, Chewie and Mara undertake a mission to destroy Thrawn's cloning facility on Wayland.  However, the insane Jedi Joruus C'baoth awaits them avidly.This book has all of the great elements of the previous two, dramatic action, subtle military strategy, political tension and extensive character development.  The climatic Battle of Bilbringi is an unmissable Star Wars moment, recalling elements of the Emperor's 'surprise' in 'Return of the Jedi'.  My favourite part of this book is where the New Republic's heroes defy their government to break Mara out of imprisonment, an act of faith in her that causes some dramatic development of her character.  The confrontation in the Mount Tantiss throne room also brilliantly captures the atmosphere of 'RotJ', but with C'baoth's minion proving to be a welcome surprise (I won't give away details, but it's one of the best handlings of this sort of thing happening to a main character that I've read).Thrawn's end, although entirely fitting, was somewhat abrupt and the otherwise excellent battle scene therefore also ended too abruptly.",5,"UK"
1999-06-05,"A masterpiece really..............nothing else","This book is the last in the trilogy (Heir to the empire, Dark force rising, Last Command). And is really worth of being the last book. Usually  are the last ones in the trilogy the best ones and this one fits it the  most. Couldn't be better.Here are all well known characters from the  part II of this trilogy: Luke Skywalker, Han Solo, Princess Leia, Lando  Calrissian, Jedi Master C'Baoth, Grand Admiral Thrawn, Mara Jade, Karrde,  ...... Some of them die in the end (the bad guys only - darn :) ), but none  of the good guys (and girls).This is the part, where the rebels find out  that Grand Admiral Thrawn is using clones and they must stop him or they  will die (rebels doesn't have so many soldiers than the Empire has clones).  That is why they have to go to the dragons nest where the clones are  produced. There they meet Jedi Master C'Baoth who made a clone of Luke  Skywalker (from Luke Skywalker's hand which he left in the Cloud City). And  then Luke fights against his clone. Mara Jade saves Luke and kills the  clone and together they destroy C'Baoth.This book really keeps you  reading and you just can't stop. Once I found myself reading it till 4 am.  I had to go to work at 5 am. This means only one hour sleep, but I didn't  miss it. Not with this good story. Timothy Zahn really did a splended job.",5,"UK"
1999-03-08,"THE GRIPPING CONCLUSION TO THE #1 BEST-SELLING SAGA!","The Empire, now under the command of Grand Admiral Thrawn, is producing cloned enemy fighters from an unknown origin. On Coruscant, the heart of  the Rebellion, Leia Organa Solo is fighting an unseen enemy: Delta Source,  a secret listening system developed by the Empire. Meanwhile, Luke  Skywalker has traveled to the city Calius, in hope of finding the source or  any information leading to the cloning that is threatening the very  survival of the Rebellion. On Corusscant, Leia finds a new source of  informatmion that is very helpful, but her luck does not hold out. The  Empire attacks Coruscant, releasing cloaked man-made asteroids into  Coruscant's atmosphere. Luke Skywalker, Lando Calrissian, Han Solo,  Chewbacca, Mara Jade, C-3PO, and R2-D2, set out to Wayland, the location of  the cloning fortress, to destroy it. As the story continures, the four  humans, one Wookie, and two droids find dangers at every corner. As the  team continure their search on Wayland, they finally find the cloning  wharehouse. They eneter without any problems, only to find the cloned Jedi  Master C'baoth waiting for them! As the two Jedi, mara and Luke, find  themselves fighting the insane Jedi Master, the rest of the team are trying  to find a way to destroy the fortress before it's too late.",5,"UK"
1998-06-14,"An extremely good book for SW fans or not - action packed","I rarely give out five stars, but this book raelly deserved it. Zahn did an excellent job from begining to end. Loads of action especially during the battle between Skywalker,Mara, and C'baoth.Two of my favorit scenes is when Trrawn sends out his elite forces after Leia and her twins. The other is when Luke and Mara battle the literally insane Jedi Master C'baoth.Lando Calrissian one of the over looked character in the Star Wars books that I've read many has a very impotant part in protecting Leia, as well as the Noghri.I like this part< because it's awesome how Thrawn infiltrates the Rebel base located on Coruscant in the palace of the late emperor Palpatine. I like the battle between Master C'baoth,Luke, and Mara, because it has a lot of action and an interesting plot turn lots of rock falling. There even a Luke vs. Luke battle. The ending is also very uique, some may say it's simple maybe those of you who like big explosions where the enemy could always survive. However Thrawn's end is pretty up close and personal.The only thing I can find possibly bad about this series is that Tommothy Zahn and this series may be slightly over rated but I think it's well desrved.",5,"UK"
1998-07-05,"My first Star Wars book","This was the very first Star Wars book I ever bought.  It first attracted me because it talked about the twins being born.  I bought the book, and even though I didn't know who half the characters were (because being the genius I am, I bought the last book of the trilogy), I was immediately hooked.  Thrawn's personality was bone-chilling, because even though he didn't like to waste the lives of his crew, he could still be incredibly ruthless.  Mara Jade was my favorite character, and she always will be.  I loved her because of the fact that after all she's been through, she still has the courage and the guts to stand up for herself and save the day when Luke starts to get a little wussy.  Plus, she's a smartass woman that can do anything that any of the other men can.  After finishing this book, I went out and bough the others in this series, and after that, I started buying more and more books.  My only complaint--I wish I had found them earlier.",5,"UK"
1996-06-29,"Last Clash Between Grand Admiral Thrawn And The New Republic","After reading the other novles in this trilogy, I waspleased to find many exciting plot twists and daring new adventures in this, the final book in Timothy Zahns Block- buster saga. If you have read the other books you will not be disipointed. Zahns smooth discriptions and great ability to mimic the personalities of the famed Star Wars caracters make this book one of the all time great Science Fiction showdowns. The action is so intense, the drama so tight, that you will swear that you can hear the John Williams score in the background. This book, and the other two in the trilogy, are a great way to sastisfy yours, [ or someone elses ] craving to experiance new adventures in the Star Wars Univers.",5,"UK"
1999-02-22,"This the best Star Wars book ever!","This book is amazing! Timothy Zahn paints vivid pictures of the characters and the different settings in this well-written story. To me, this book  seems to come straight from the mind of George Lucas. The characters are  exactly like the ones we remember from the movies with the same  personalities and all. The different settings in the story are beautifully  described in powerful and vivid writing.  The book is easy enough to  follow and flows along very well. However, I found it difficult to pick out  some of the details that make the story completely clear such as, the  discovery of the mysterious "" Delta Source"" (don't worry I'm not  going to give it away!)  I think this is definitely the best book for a  SW fan!",5,"UK"
1999-07-10,"Best of the three books, and a must-read for Star Wars fans","When I read Heir to the Empire, I couldn't wait for the next book to come out. When I read Dark Force Rising, I didn't think it could get any better.  But when I read The Last Command, I knew that it had.  The Last Command is  definately the best of the three books in this trilogy. Everything was  perfect. The best section of the book must have been the battle between  Luke, Mara, and C-boath. I had personally been waiting for that battle to  unfold through the other two books. It was one thing to have C'boath and  Luke fight, but Zahn doesn't stop there. A clone of Luke was one of the  best ideas I've ever seen. The clone definately should not have died,  though. It would have been legendary to have two Lukes, one on the Light  side of the Force, one on the Dark side. Anyway, the inner battles between  Luke and Mara were resolved wonderfully. I think one of the best parts is  reading about Mara's hatred of him slowly vanish.",5,"UK"
1998-08-11,"a horrible book","even though it's the best of Zhan's triology , that's not saying much. Everything in the trilogy ties together in a way that it's unbelivable. Luke  , Leia , Han , Lando , Thrawn and the rest of the gang are always at the right place at the right time. Think about Nkllon , Sluis Van , Honoghr , New Cov (where HAn and Lando found The key to Feyla's plan , ON THE FIRST PLANET THEY VISIT!!) Thrawn is a cool idea that was ruined by Zahn. All he did was bully a few Noghris and smugglers. People say he almost brought down the Republic , where and when did he do that ? He attacked a few shipyards and a few planets , out of millions and millions. I was left with a  tottaly unsatisfied feeling and wondering what's wrong with all the people that like this trilogy. Mara Jade is the typical obnoxious beat up -anyone-in-her-way female that are all over the place now. Karrde is a Thrawn wannabe. and the names Zahn uses are really corny (ie ""Emperor's Hand"" , ""Dark Forc! e""  , etc..) , in short a very bad trilogy that got so famous because it was the first Star Wars novel in the 90's . Read Wolverton's Courtship of Princess Leia and see the kind of style i like.",2,"UK"
1998-06-06,"What can I say?","This is one of the best books I have read in my entire life. I read it for the first time in '95 and have reread it time and again. The characterization, plot, action........ hell, everything about this book made it great. Zahn is truly a master of his art, an auhtor without peer. I wish I'd had the chance to read it much earlier, unfortunately I wasn't able to but when I finally did I was basically speechless. Zahn has a style that really gets the reader into the book, so much so that you don't want to put it down. I'm an aspiring writer, and all I can say is that I would love to be compared to him (even if I recieve a bad review).",5,"UK"
1998-02-06,"Please, DO write some more STAR WARS books for us, Mr. Zahn!","This trilogy definitely is by far the absolute best stuff I've ever read in my life!Not one of the other STAR WARS authors did manage to write a story so thrilling and true to the characters of the original as Mr. Zahn did. Perhaps even more so. I must admit that he's a genius. And I'm not a person to say so very often.Till now I've read about seventeen English STAR WARS books, but after reading this trilogy (I'm reading the books in chronological order), I didn't really believe that someday I would happen to find a better book lying in my hands.Actually, I never did.May the force be with you, DANA (Germany)",5,"UK"
1997-03-19,"The best book I have ever read!!!","If you only read one book in your life, this should be it.  Zahn's characterization of Luke, Han, Leia, etc. is great.  The book is action packed from cover to cover, and concludes his Star Wars book trilogy in epic fashion.  Zahn provides the New Republic (formerly the Rebellion) with a stern challenge in the form of Grand Admiral Thrawn, a military genius, and Joruus C'baoth, an insane Jedi Master.  There are several interesting sub-plots in this book and in Zahn's trilogy, these contribute greatly to the overall plot of the story.  I didn't think a book, could match the magic of the Star Wars movies, I was wrong.",5,"UK"
1997-08-14,"The author of this book knew what he was doing.","So many times you'll find a book about a certain series and it just doesn't fit with what everyone else wrote.Not this one. It fits perfectly with everything that had been writen before it.He explains everything very well and puts it all together with great style. He spends enough time with each of the characters so you know what's going on but not to much so you know exactly what's going to happen.The climax at the end of it was truly worth the Star Wars name. Well done Mr. Zahn!! My favorite part of the book was the last chapter although I think he should have gone a little farther.",5,"UK"
1999-07-13,"An awsome book","I have always been a fan of starwars.  I loved the other two books in the series (heir to the empire, dark force rising), but when I read the final  conclusion, I thought that it was the best book that I had ever read. There  were many new characters, like Grand Admiral Thrawn, Captain Pellaon, Talon  Karrade, Joruus C'baoth and Mara Jade, that were fascinating. I felt like I  was there in that last battle against C'baoth.  It was very fitting when  Mara killed Luuke and C'baoth.  What a great way to end the story.  It is  a book that I recomend every star wars fan should read.",5,"UK"
1997-11-22,"A great book which really captures the feel of Star Wars","I can't say anything about hearing a John Williams score in the background, but I can say that it is, in all probability, better than the original trilogy that started it all (no offence meant, George). It's atmosphere is very imaginable the way it is presented, and still somehow leaves enough out the first few times, that you can pick it up in subsequent readings. The first two books in the trilogy can fill in some details, also, to give you a more complete picture. Zahn's projection of technology also gives you things to think about, even when you have long since finished.",5,"UK"
1999-02-12,"Best book I have ever read....! Excellent work...!","I will make this short and sweet.Get this book and all of Mr. Timothy Zahns Star Wars novels. If you call yourself a true SW person, you must  read these books. You will be so glad you did.A reader from Honolulu,  Hawaii , February 10,  where it was Luke vs Luuke, and the only problem  was, how did Joruus get the Force bacK from the ysalamari!Joruus had  his private Stormtroopers plant bombs on them and had them killed when he  pressed the trigger. (Reread that part in the book).Well done Mr. Zahn,  don't ever Stop writting SW novels...!!!!",5,"UK"
